KX341966.1 18114 0 KX341966.1 Gmelinoides fasciatus mitochondrion, complete genome
KY782200.1 16571 0 KY782200.1 Homo sapiens isolate 10614 mitochondrion, complete genome
KY782199.1 16571 0 KY782199.1 Homo sapiens isolate 10612 mitochondrion, complete genome
KY782198.1 16569 0 KY782198.1 Homo sapiens isolate 10611 mitochondrion, complete genome
KY782197.1 16570 0 KY782197.1 Homo sapiens isolate 10609 mitochondrion, complete genome
KY782196.1 16571 0 KY782196.1 Homo sapiens isolate 10603 mitochondrion, complete genome
KY782195.1 16570 0 KY782195.1 Homo sapiens isolate 10601 mitochondrion, complete genome
KY782194.1 16570 0 KY782194.1 Homo sapiens isolate 10598 mitochondrion, complete genome
KY782193.1 16570 0 KY782193.1 Homo sapiens isolate 10596 mitochondrion, complete genome
KY782192.1 16571 0 KY782192.1 Homo sapiens isolate 10595 mitochondrion, complete genome
KY782191.1 16570 0 KY782191.1 Homo sapiens isolate 10593 mitochondrion, complete genome
KY782190.1 16568 0 KY782190.1 Homo sapiens isolate 10592 mitochondrion, complete genome
KY782189.1 16570 0 KY782189.1 Homo sapiens isolate 10590 mitochondrion, complete genome
KY782188.1 16569 0 KY782188.1 Homo sapiens isolate 10583 mitochondrion, complete genome
KY782187.1 16571 0 KY782187.1 Homo sapiens isolate 10581 mitochondrion, complete genome
KY782186.1 16568 0 KY782186.1 Homo sapiens isolate 10580 mitochondrion, complete genome
KY782185.1 16569 0 KY782185.1 Homo sapiens isolate 10578 mitochondrion, complete genome
KY782184.1 16567 0 KY782184.1 Homo sapiens isolate 10577 mitochondrion, complete genome
KY782183.1 16571 0 KY782183.1 Homo sapiens isolate 10575 mitochondrion, complete genome
KY782182.1 16570 0 KY782182.1 Homo sapiens isolate 10570 mitochondrion, complete genome
KY782181.1 16570 0 KY782181.1 Homo sapiens isolate 10568 mitochondrion, complete genome
KY782180.1 16571 0 KY782180.1 Homo sapiens isolate 10567 mitochondrion, complete genome
KY782179.1 16571 0 KY782179.1 Homo sapiens isolate 10565 mitochondrion, complete genome
KY782178.1 16570 0 KY782178.1 Homo sapiens isolate 10564 mitochondrion, complete genome
KY782177.1 16569 0 KY782177.1 Homo sapiens isolate 10562 mitochondrion, complete genome
KY782176.1 16570 0 KY782176.1 Homo sapiens isolate 10561 mitochondrion, complete genome
KY782175.1 16571 0 KY782175.1 Homo sapiens isolate 10559 mitochondrion, complete genome
KY782174.1 16570 0 KY782174.1 Homo sapiens isolate 10558 mitochondrion, complete genome
KY782173.1 16569 0 KY782173.1 Homo sapiens isolate 10556 mitochondrion, complete genome
KY782172.1 16567 0 KY782172.1 Homo sapiens isolate 10554 mitochondrion, complete genome
KY782171.1 16569 0 KY782171.1 Homo sapiens isolate 10552 mitochondrion, complete genome
KY782170.1 16570 0 KY782170.1 Homo sapiens isolate 10548 mitochondrion, complete genome
KY782169.1 16574 0 KY782169.1 Homo sapiens isolate 10546 mitochondrion, complete genome
KY782168.1 16569 0 KY782168.1 Homo sapiens isolate 10545 mitochondrion, complete genome
KY782167.1 16571 0 KY782167.1 Homo sapiens isolate 10543 mitochondrion, complete genome
KY782166.1 16570 0 KY782166.1 Homo sapiens isolate 10542 mitochondrion, complete genome
KY782165.1 16570 0 KY782165.1 Homo sapiens isolate 10540 mitochondrion, complete genome
KY782164.1 16569 0 KY782164.1 Homo sapiens isolate 10538 mitochondrion, complete genome
KY782163.1 16568 0 KY782163.1 Homo sapiens isolate 10536 mitochondrion, complete genome
KY782162.1 16570 0 KY782162.1 Homo sapiens isolate 10535 mitochondrion, complete genome
KY782161.1 16569 0 KY782161.1 Homo sapiens isolate 10533 mitochondrion, complete genome
KY782160.1 16569 0 KY782160.1 Homo sapiens isolate 10531 mitochondrion, complete genome
KY782159.1 16570 0 KY782159.1 Homo sapiens isolate 10529 mitochondrion, complete genome
KY782158.1 16571 0 KY782158.1 Homo sapiens isolate 10528 mitochondrion, complete genome
KY782157.1 16569 0 KY782157.1 Homo sapiens isolate 10526 mitochondrion, complete genome
KY782156.1 16570 0 KY782156.1 Homo sapiens isolate 10519 mitochondrion, complete genome
KY782155.1 16570 0 KY782155.1 Homo sapiens isolate 10517 mitochondrion, complete genome
KY782154.1 16567 0 KY782154.1 Homo sapiens isolate 10514 mitochondrion, complete genome
KY782153.1 16570 0 KY782153.1 Homo sapiens isolate 10513 mitochondrion, complete genome
KY782152.1 16570 0 KY782152.1 Homo sapiens isolate 10511 mitochondrion, complete genome
KY782151.1 16571 0 KY782151.1 Homo sapiens isolate 10509 mitochondrion, complete genome
KY782150.1 16570 0 KY782150.1 Homo sapiens isolate 10363 mitochondrion, complete genome
MG049920.1 15999 0 MG049920.1 Paratoxodera polyacantha mitochondrion, complete genome
KY671126.1 16572 0 KY671126.1 Homo sapiens isolate II_55_BG haplogroup H1n mitochondrion, complete genome
KY671125.1 16569 0 KY671125.1 Homo sapiens isolate II_54_BG haplogroup H11a1 mitochondrion, complete genome
KY671124.1 16569 0 KY671124.1 Homo sapiens isolate II_52_BG haplogroup HV0 mitochondrion, complete genome
KY671123.1 16570 0 KY671123.1 Homo sapiens isolate II_50_BG haplogroup W5a mitochondrion, complete genome
KY671122.1 16576 0 KY671122.1 Homo sapiens isolate II_49_BG haplogroup I2 mitochondrion, complete genome
KY671121.1 16575 0 KY671121.1 Homo sapiens isolate II_48_BG haplogroup I1b mitochondrion, complete genome
KY671120.1 16569 0 KY671120.1 Homo sapiens isolate II_45_BG haplogroup J1c5 mitochondrion, complete genome
KY671119.1 16570 0 KY671119.1 Homo sapiens isolate II_41_BG haplogroup T2 mitochondrion, complete genome
KY671118.1 16571 0 KY671118.1 Homo sapiens isolate II_39_BG haplogroup H41a mitochondrion, complete genome
KY671117.1 16570 0 KY671117.1 Homo sapiens isolate II_36_BG haplogroup J1c3 mitochondrion, complete genome
KY671116.1 16571 0 KY671116.1 Homo sapiens isolate II_35_BG haplogroup H11a1 mitochondrion, complete genome
KY671115.1 16570 0 KY671115.1 Homo sapiens isolate II_34_BG haplogroup V1a mitochondrion, complete genome
KY671114.1 16575 0 KY671114.1 Homo sapiens isolate II_33_BG haplogroup I1a1 mitochondrion, complete genome
KY671113.1 16571 0 KY671113.1 Homo sapiens isolate II_31_BG haplogroup H mitochondrion, complete genome
KY671112.1 16570 0 KY671112.1 Homo sapiens isolate II_29_BG haplogroup T2 mitochondrion, complete genome
KY671111.1 16570 0 KY671111.1 Homo sapiens isolate II_28_BG haplogroup H3 mitochondrion, complete genome
KY671110.1 16574 0 KY671110.1 Homo sapiens isolate II_27_BG haplogroup I1a1 mitochondrion, complete genome
KY671109.1 16567 0 KY671109.1 Homo sapiens isolate II_26_BG haplogroup X2b mitochondrion, complete genome
KY671108.1 16569 0 KY671108.1 Homo sapiens isolate II_24_BG haplogroup V1a1 mitochondrion, complete genome
KY671107.1 16570 0 KY671107.1 Homo sapiens isolate II_18_BG haplogroup H2a5 mitochondrion, complete genome
KY671106.1 16569 0 KY671106.1 Homo sapiens isolate II_17_BG haplogroup H56a1 mitochondrion, complete genome
KY671105.1 16570 0 KY671105.1 Homo sapiens isolate II_16_BG haplogroup H2a1 mitochondrion, complete genome
KY671104.1 16570 0 KY671104.1 Homo sapiens isolate II_15_BG haplogroup T2e1 mitochondrion, complete genome
KY671103.1 16569 0 KY671103.1 Homo sapiens isolate II_13_BG haplogroup H28a mitochondrion, complete genome
KY671102.1 16568 0 KY671102.1 Homo sapiens isolate II_11_BG haplogroup H81 mitochondrion, complete genome
KY671101.1 16569 0 KY671101.1 Homo sapiens isolate II_10_BG haplogroup V7a mitochondrion, complete genome
KY671100.1 16569 0 KY671100.1 Homo sapiens isolate II_9_BG haplogroup J1c3 mitochondrion, complete genome
KY671099.1 16569 0 KY671099.1 Homo sapiens isolate II_6_BG haplogroup H3h1 mitochondrion, complete genome
KY671098.1 16570 0 KY671098.1 Homo sapiens isolate II_5_BG haplogroup K1d mitochondrion, complete genome
KY671097.1 16567 0 KY671097.1 Homo sapiens isolate II_4_BG haplogroup H1c mitochondrion, complete genome
KY671096.1 16567 0 KY671096.1 Homo sapiens isolate II_2_BG haplogroup J1c5 mitochondrion, complete genome
KY671095.1 16570 0 KY671095.1 Homo sapiens isolate II_1_BG haplogroup H14a2 mitochondrion, complete genome
KY671094.1 16569 0 KY671094.1 Homo sapiens isolate I_18_BG haplogroup T2a1 mitochondrion, complete genome
KY671093.1 16568 0 KY671093.1 Homo sapiens isolate I_17_BG haplogroup H1b1 mitochondrion, complete genome
KY671092.1 16569 0 KY671092.1 Homo sapiens isolate I_16_BG haplogroup J1c2 mitochondrion, complete genome
KY671091.1 16569 0 KY671091.1 Homo sapiens isolate I_11_BG haplogroup H1 mitochondrion, complete genome
KY671090.1 16570 0 KY671090.1 Homo sapiens isolate I_9_BG haplogroup V7a mitochondrion, complete genome
KY671089.1 16569 0 KY671089.1 Homo sapiens isolate I_7_BG haplogroup J1c2 mitochondrion, complete genome
KY671088.1 16569 0 KY671088.1 Homo sapiens isolate I_6_BG haplogroup H1c mitochondrion, complete genome
KY671087.1 16568 0 KY671087.1 Homo sapiens isolate I_3_BG haplogroup H11a2 mitochondrion, complete genome
KY671086.1 16570 0 KY671086.1 Homo sapiens isolate I_2_BG haplogroup T1a1 mitochondrion, complete genome
KY671085.1 16571 0 KY671085.1 Homo sapiens isolate 821_Vl haplogroup I1a mitochondrion, complete genome
KY671084.1 16567 0 KY671084.1 Homo sapiens isolate 531_Ps haplogroup H5a1 mitochondrion, complete genome
KY671083.1 16571 0 KY671083.1 Homo sapiens isolate 164_VN haplogroup H1n mitochondrion, complete genome
KY671082.1 16569 0 KY671082.1 Homo sapiens isolate 150_VN haplogroup H1 mitochondrion, complete genome
KY671081.1 16569 0 KY671081.1 Homo sapiens isolate 147_VN haplogroup J1c3 mitochondrion, complete genome
KY671080.1 16568 0 KY671080.1 Homo sapiens isolate 133_VN haplogroup H5a1 mitochondrion, complete genome
KY671079.1 16569 0 KY671079.1 Homo sapiens isolate 132_T haplogroup J1c mitochondrion, complete genome
KY671078.1 16569 0 KY671078.1 Homo sapiens isolate 131_Vl haplogroup H5u mitochondrion, complete genome
KY671077.1 16569 0 KY671077.1 Homo sapiens isolate 131_T haplogroup H7 mitochondrion, complete genome
KY671076.1 16569 0 KY671076.1 Homo sapiens isolate 130_VN haplogroup U5b1e mitochondrion, complete genome
KY671075.1 16569 0 KY671075.1 Homo sapiens isolate 129_Vl haplogroup J1b1 mitochondrion, complete genome
KY671074.1 16570 0 KY671074.1 Homo sapiens isolate 128_VN haplogroup H24a mitochondrion, complete genome
KY671073.1 16570 0 KY671073.1 Homo sapiens isolate 128_T haplogroup T2b mitochondrion, complete genome
KY671072.1 16569 0 KY671072.1 Homo sapiens isolate 125_Vl haplogroup W1e mitochondrion, complete genome
KY671071.1 16570 0 KY671071.1 Homo sapiens isolate 122_VN haplogroup H1a2 mitochondrion, complete genome
KY671070.1 16567 0 KY671070.1 Homo sapiens isolate 122_Vl haplogroup H1u mitochondrion, complete genome
KY671069.1 16569 0 KY671069.1 Homo sapiens isolate 121_VN haplogroup H1c22 mitochondrion, complete genome
KY671068.1 16571 0 KY671068.1 Homo sapiens isolate 120_Vl haplogroup H mitochondrion, complete genome
KY671067.1 16569 0 KY671067.1 Homo sapiens isolate 120_T haplogroup T2b mitochondrion, complete genome
KY671066.1 16572 0 KY671066.1 Homo sapiens isolate 119_VN haplogroup U5a1c mitochondrion, complete genome
KY671065.1 16575 0 KY671065.1 Homo sapiens isolate 118_Vl haplogroup I1a1 mitochondrion, complete genome
KY671064.1 16569 0 KY671064.1 Homo sapiens isolate 117_Vl haplogroup H mitochondrion, complete genome
KY671063.1 16571 0 KY671063.1 Homo sapiens isolate 116_Vl haplogroup T1a1 mitochondrion, complete genome
KY671062.1 16573 0 KY671062.1 Homo sapiens isolate 115_Vl haplogroup I2 mitochondrion, complete genome
KY671061.1 16571 0 KY671061.1 Homo sapiens isolate 115_T haplogroup H6a1 mitochondrion, complete genome
KY671060.1 16569 0 KY671060.1 Homo sapiens isolate 114_VN haplogroup J1b1 mitochondrion, complete genome
KY671059.1 16570 0 KY671059.1 Homo sapiens isolate 114_T haplogroup H11a2 mitochondrion, complete genome
KY671058.1 16571 0 KY671058.1 Homo sapiens isolate 112_Vl haplogroup T1a mitochondrion, complete genome
KY671057.1 16568 0 KY671057.1 Homo sapiens isolate 112_T haplogroup U5b1b1 mitochondrion, complete genome
KY671056.1 16569 0 KY671056.1 Homo sapiens isolate 111_T haplogroup H36 mitochondrion, complete genome
KY671055.1 16570 0 KY671055.1 Homo sapiens isolate 110_Vl haplogroup T1a2 mitochondrion, complete genome
KY671054.1 16569 0 KY671054.1 Homo sapiens isolate 110_T haplogroup H1c mitochondrion, complete genome
KY671053.1 16570 0 KY671053.1 Homo sapiens isolate 108_VN haplogroup H1a7 mitochondrion, complete genome
KY671052.1 16571 0 KY671052.1 Homo sapiens isolate 108_Vl haplogroup H13b mitochondrion, complete genome
KY671051.1 16569 0 KY671051.1 Homo sapiens isolate 108_T haplogroup H3h mitochondrion, complete genome
KY671050.1 16573 0 KY671050.1 Homo sapiens isolate 107_Vl haplogroup H5e mitochondrion, complete genome
KY671049.1 16569 0 KY671049.1 Homo sapiens isolate 106_T haplogroup H11a2 mitochondrion, complete genome
KY671048.1 16569 0 KY671048.1 Homo sapiens isolate 105_VN haplogroup K1a3 mitochondrion, complete genome
KY671047.1 16571 0 KY671047.1 Homo sapiens isolate 105_Vl haplogroup I1a1 mitochondrion, complete genome
KY671046.1 16570 0 KY671046.1 Homo sapiens isolate 104_Vl haplogroup T2b mitochondrion, complete genome
KY671045.1 16570 0 KY671045.1 Homo sapiens isolate 103_VN haplogroup U5a1a mitochondrion, complete genome
KY671044.1 16569 0 KY671044.1 Homo sapiens isolate 103_Vl haplogroup H mitochondrion, complete genome
KY671043.1 16569 0 KY671043.1 Homo sapiens isolate 102_Vl haplogroup H2a1 mitochondrion, complete genome
KY671042.1 16569 0 KY671042.1 Homo sapiens isolate 102_T haplogroup H5f mitochondrion, complete genome
KY671041.1 16570 0 KY671041.1 Homo sapiens isolate 101_Vl haplogroup U5a2b mitochondrion, complete genome
KY671040.1 16571 0 KY671040.1 Homo sapiens isolate 100_Vl haplogroup T1a1 mitochondrion, complete genome
KY671039.1 16571 0 KY671039.1 Homo sapiens isolate 99_Vl haplogroup H2a1 mitochondrion, complete genome
KY671038.1 16571 0 KY671038.1 Homo sapiens isolate 98_Vl haplogroup H mitochondrion, complete genome
KY671037.1 16569 0 KY671037.1 Homo sapiens isolate 98_T haplogroup H107 mitochondrion, complete genome
KY671036.1 16569 0 KY671036.1 Homo sapiens isolate 97_T haplogroup H1b mitochondrion, complete genome
KY671035.1 16568 0 KY671035.1 Homo sapiens isolate 96_Vl haplogroup HV0a1 mitochondrion, complete genome
KY671034.1 16567 0 KY671034.1 Homo sapiens isolate 95_T haplogroup U5b1e mitochondrion, complete genome
KY671033.1 16571 0 KY671033.1 Homo sapiens isolate 94_T haplogroup V mitochondrion, complete genome
KY671032.1 16574 0 KY671032.1 Homo sapiens isolate 90_T haplogroup I1a mitochondrion, complete genome
KY671031.1 16570 0 KY671031.1 Homo sapiens isolate 89_Vl haplogroup K1a2 mitochondrion, complete genome
KY671030.1 16569 0 KY671030.1 Homo sapiens isolate 89_T haplogroup H35 mitochondrion, complete genome
KY671029.1 16570 0 KY671029.1 Homo sapiens isolate 87_Vl haplogroup H1c mitochondrion, complete genome
KY671028.1 16571 0 KY671028.1 Homo sapiens isolate 86_Vl haplogroup H mitochondrion, complete genome
KY671027.1 16572 0 KY671027.1 Homo sapiens isolate 86_Ps haplogroup V3 mitochondrion, complete genome
KY671026.1 16569 0 KY671026.1 Homo sapiens isolate 85_Vl haplogroup H1a3 mitochondrion, complete genome
KY671025.1 16571 0 KY671025.1 Homo sapiens isolate 85_T haplogroup H11a1 mitochondrion, complete genome
KY671024.1 16569 0 KY671024.1 Homo sapiens isolate 84_Ps haplogroup V7a mitochondrion, complete genome
KY671023.1 16569 0 KY671023.1 Homo sapiens isolate 81_Vl haplogroup H7b mitochondrion, complete genome
KY671022.1 16569 0 KY671022.1 Homo sapiens isolate 81_Ps haplogroup J1c4 mitochondrion, complete genome
KY671021.1 16570 0 KY671021.1 Homo sapiens isolate 79_OR haplogroup H1aj mitochondrion, complete genome
KY671020.1 16569 0 KY671020.1 Homo sapiens isolate 78_T haplogroup H1 mitochondrion, complete genome
KY671019.1 16569 0 KY671019.1 Homo sapiens isolate 78_Ps haplogroup H1 mitochondrion, complete genome
KY671018.1 16569 0 KY671018.1 Homo sapiens isolate 78_OR haplogroup T1a1 mitochondrion, complete genome
KY671017.1 16571 0 KY671017.1 Homo sapiens isolate 77_Vl haplogroup T2b1 mitochondrion, complete genome
KY671016.1 16570 0 KY671016.1 Homo sapiens isolate 77_Ps haplogroup J1c3 mitochondrion, complete genome
KY671015.1 16570 0 KY671015.1 Homo sapiens isolate 77_OR haplogroup H6a1 mitochondrion, complete genome
KY671014.1 16573 0 KY671014.1 Homo sapiens isolate 75_Vl haplogroup W6a mitochondrion, complete genome
KY671013.1 16570 0 KY671013.1 Homo sapiens isolate 75_T haplogroup H13a mitochondrion, complete genome
KY671012.1 16569 0 KY671012.1 Homo sapiens isolate 75_Ps haplogroup H11a1 mitochondrion, complete genome
KY671011.1 16569 0 KY671011.1 Homo sapiens isolate 73_Vl haplogroup H11a mitochondrion, complete genome
KY671010.1 16574 0 KY671010.1 Homo sapiens isolate 73_T haplogroup I1a mitochondrion, complete genome
KY671009.1 16574 0 KY671009.1 Homo sapiens isolate 73_Ps haplogroup U4d1 mitochondrion, complete genome
KY671008.1 16569 0 KY671008.1 Homo sapiens isolate 72_Vl haplogroup H1b mitochondrion, complete genome
KY671007.1 16569 0 KY671007.1 Homo sapiens isolate 71_Vl haplogroup T2b mitochondrion, complete genome
KY671006.1 16570 0 KY671006.1 Homo sapiens isolate 70_T haplogroup J1c mitochondrion, complete genome
KY671005.1 16569 0 KY671005.1 Homo sapiens isolate 70_Ps haplogroup T1a1 mitochondrion, complete genome
KY671004.1 16571 0 KY671004.1 Homo sapiens isolate 70_OR haplogroup H1 mitochondrion, complete genome
KY671003.1 16569 0 KY671003.1 Homo sapiens isolate 69_Vl haplogroup H1a2 mitochondrion, complete genome
KY671002.1 16567 0 KY671002.1 Homo sapiens isolate 69_T haplogroup H5a1 mitochondrion, complete genome
KY671001.1 16569 0 KY671001.1 Homo sapiens isolate 68_Vl haplogroup T2b mitochondrion, complete genome
KY671000.1 16567 0 KY671000.1 Homo sapiens isolate 68_T haplogroup H4a1 mitochondrion, complete genome
KY670999.1 16568 0 KY670999.1 Homo sapiens isolate 68_Ps haplogroup H79b mitochondrion, complete genome
KY670998.1 16569 0 KY670998.1 Homo sapiens isolate 68_OR haplogroup T2b4 mitochondrion, complete genome
KY670997.1 16569 0 KY670997.1 Homo sapiens isolate 67_OR haplogroup T2b4 mitochondrion, complete genome
KY670996.1 16569 0 KY670996.1 Homo sapiens isolate 66_Vl haplogroup T1a mitochondrion, complete genome
KY670995.1 16569 0 KY670995.1 Homo sapiens isolate 66_T haplogroup H11a2 mitochondrion, complete genome
KY670994.1 16571 0 KY670994.1 Homo sapiens isolate 66_OR haplogroup J1c mitochondrion, complete genome
KY670993.1 16572 0 KY670993.1 Homo sapiens isolate 65_Ps haplogroup W6a1 mitochondrion, complete genome
KY670992.1 16570 0 KY670992.1 Homo sapiens isolate 64_VN haplogroup J1c mitochondrion, complete genome
KY670991.1 16570 0 KY670991.1 Homo sapiens isolate 64_Ps haplogroup H2a2 mitochondrion, complete genome
KY670990.1 16570 0 KY670990.1 Homo sapiens isolate 64_OR haplogroup J1c2 mitochondrion, complete genome
KY670989.1 16571 0 KY670989.1 Homo sapiens isolate 63_VN haplogroup X2e mitochondrion, complete genome
KY670988.1 16569 0 KY670988.1 Homo sapiens isolate 63_Ps haplogroup U5a2a mitochondrion, complete genome
KY670987.1 16566 0 KY670987.1 Homo sapiens isolate 63_OR haplogroup H1b1 mitochondrion, complete genome
KY670986.1 16570 0 KY670986.1 Homo sapiens isolate 62_VN haplogroup H28a mitochondrion, complete genome
KY670985.1 16570 0 KY670985.1 Homo sapiens isolate 62_Vl haplogroup H1b mitochondrion, complete genome
KY670984.1 16571 0 KY670984.1 Homo sapiens isolate 62_OR haplogroup V3 mitochondrion, complete genome
KY670983.1 16569 0 KY670983.1 Homo sapiens isolate 61_Ps haplogroup T2b mitochondrion, complete genome
KY670982.1 16569 0 KY670982.1 Homo sapiens isolate 61_OR haplogroup HV mitochondrion, complete genome
KY670981.1 16569 0 KY670981.1 Homo sapiens isolate 60_VN haplogroup H mitochondrion, complete genome
KY670980.1 16571 0 KY670980.1 Homo sapiens isolate 60_Ps haplogroup H1 mitochondrion, complete genome
KY670979.1 16567 0 KY670979.1 Homo sapiens isolate 59_VN haplogroup H1b mitochondrion, complete genome
KY670978.1 16569 0 KY670978.1 Homo sapiens isolate 59_T haplogroup H35 mitochondrion, complete genome
KY670977.1 16568 0 KY670977.1 Homo sapiens isolate 59_Ps haplogroup H1c mitochondrion, complete genome
KY670976.1 16568 0 KY670976.1 Homo sapiens isolate 59_OR haplogroup H1c mitochondrion, complete genome
KY670975.1 16571 0 KY670975.1 Homo sapiens isolate 58_VN haplogroup V3 mitochondrion, complete genome
KY670974.1 16570 0 KY670974.1 Homo sapiens isolate 58_T haplogroup U3b3 mitochondrion, complete genome
KY670973.1 16569 0 KY670973.1 Homo sapiens isolate 58_Ps haplogroup J1c4 mitochondrion, complete genome
KY670972.1 16568 0 KY670972.1 Homo sapiens isolate 58_OR haplogroup H4a mitochondrion, complete genome
KY670971.1 16568 0 KY670971.1 Homo sapiens isolate 57_Vl haplogroup H23 mitochondrion, complete genome
KY670970.1 16569 0 KY670970.1 Homo sapiens isolate 57_OR haplogroup J1b1 mitochondrion, complete genome
KY670969.1 16571 0 KY670969.1 Homo sapiens isolate 56_T haplogroup T2b mitochondrion, complete genome
KY670968.1 16569 0 KY670968.1 Homo sapiens isolate 56_OR haplogroup H1 mitochondrion, complete genome
KY670967.1 16567 0 KY670967.1 Homo sapiens isolate 55_Vl haplogroup T1a mitochondrion, complete genome
KY670966.1 16569 0 KY670966.1 Homo sapiens isolate 54_VN haplogroup H11a1 mitochondrion, complete genome
KY670965.1 16569 0 KY670965.1 Homo sapiens isolate 54_Ps haplogroup H32 mitochondrion, complete genome
KY670964.1 16569 0 KY670964.1 Homo sapiens isolate 53_Ps haplogroup H1c mitochondrion, complete genome
KY670963.1 16570 0 KY670963.1 Homo sapiens isolate 52_Vl haplogroup W1j mitochondrion, complete genome
KY670962.1 16569 0 KY670962.1 Homo sapiens isolate 52_Ps haplogroup H1c mitochondrion, complete genome
KY670961.1 16570 0 KY670961.1 Homo sapiens isolate 52_OR haplogroup H1c mitochondrion, complete genome
KY670960.1 16570 0 KY670960.1 Homo sapiens isolate 51_OR haplogroup H1 mitochondrion, complete genome
KY670959.1 16567 0 KY670959.1 Homo sapiens isolate 50_Vl haplogroup N1b mitochondrion, complete genome
KY670958.1 16572 0 KY670958.1 Homo sapiens isolate 50_Ps haplogroup H1aj mitochondrion, complete genome
KY670957.1 16570 0 KY670957.1 Homo sapiens isolate 50_OR haplogroup V1a mitochondrion, complete genome
KY670956.1 16570 0 KY670956.1 Homo sapiens isolate 49_VN haplogroup H1 mitochondrion, complete genome
KY670955.1 16571 0 KY670955.1 Homo sapiens isolate 49_OR haplogroup U5a1d mitochondrion, complete genome
KY670954.1 16570 0 KY670954.1 Homo sapiens isolate 48_Ps haplogroup H89 mitochondrion, complete genome
KY670953.1 16570 0 KY670953.1 Homo sapiens isolate 48_OR haplogroup U5a1a mitochondrion, complete genome
KY670952.1 16570 0 KY670952.1 Homo sapiens isolate 47_Vl haplogroup H1u mitochondrion, complete genome
KY670951.1 16569 0 KY670951.1 Homo sapiens isolate 47_Ps haplogroup H1a2 mitochondrion, complete genome
KY670950.1 16569 0 KY670950.1 Homo sapiens isolate 46_VN haplogroup J1c5 mitochondrion, complete genome
KY670949.1 16570 0 KY670949.1 Homo sapiens isolate 46_Ps haplogroup U8a1 mitochondrion, complete genome
KY670948.1 16570 0 KY670948.1 Homo sapiens isolate 46_OR haplogroup R2 mitochondrion, complete genome
KY670947.1 16570 0 KY670947.1 Homo sapiens isolate 45_VN haplogroup H mitochondrion, complete genome
KY670946.1 16570 0 KY670946.1 Homo sapiens isolate 45_Vl haplogroup T2i mitochondrion, complete genome
KY670945.1 16570 0 KY670945.1 Homo sapiens isolate 44_VN haplogroup V15a mitochondrion, complete genome
KY670944.1 16568 0 KY670944.1 Homo sapiens isolate 44_OR haplogroup U4a2 mitochondrion, complete genome
KY670943.1 16575 0 KY670943.1 Homo sapiens isolate 43_Vl haplogroup J2a mitochondrion, complete genome
KY670942.1 16569 0 KY670942.1 Homo sapiens isolate 43_Ps haplogroup H2a5 mitochondrion, complete genome
KY670941.1 16570 0 KY670941.1 Homo sapiens isolate 43_OR haplogroup H6b2 mitochondrion, complete genome
KY670940.1 16571 0 KY670940.1 Homo sapiens isolate 42_VN haplogroup H6a1 mitochondrion, complete genome
KY670939.1 16571 0 KY670939.1 Homo sapiens isolate 42_OR haplogroup H7c1 mitochondrion, complete genome
KY670938.1 16569 0 KY670938.1 Homo sapiens isolate 41_VN haplogroup H2a2 mitochondrion, complete genome
KY670937.1 16572 0 KY670937.1 Homo sapiens isolate 40_Vl haplogroup J2a1 mitochondrion, complete genome
KY670936.1 16570 0 KY670936.1 Homo sapiens isolate 40_Ps haplogroup G2a1 mitochondrion, complete genome
KY670935.1 16570 0 KY670935.1 Homo sapiens isolate 39_Vl haplogroup T2b mitochondrion, complete genome
KY670934.1 16570 0 KY670934.1 Homo sapiens isolate 39_T haplogroup H1a3 mitochondrion, complete genome
KY670933.1 16569 0 KY670933.1 Homo sapiens isolate 38_Vl haplogroup H16 mitochondrion, complete genome
KY670932.1 16570 0 KY670932.1 Homo sapiens isolate 37_VN haplogroup H2a1 mitochondrion, complete genome
KY670931.1 16569 0 KY670931.1 Homo sapiens isolate 37_T haplogroup J1c mitochondrion, complete genome
KY670930.1 16570 0 KY670930.1 Homo sapiens isolate 37_Ps haplogroup T2b mitochondrion, complete genome
KY670929.1 16569 0 KY670929.1 Homo sapiens isolate 37_OR haplogroup U5b1b1 mitochondrion, complete genome
KY670928.1 16567 0 KY670928.1 Homo sapiens isolate 36_Vl haplogroup U5a1 mitochondrion, complete genome
KY670927.1 16570 0 KY670927.1 Homo sapiens isolate 36_Ps haplogroup H6a1 mitochondrion, complete genome
KY670926.1 16572 0 KY670926.1 Homo sapiens isolate 36_OR haplogroup H1b2 mitochondrion, complete genome
KY670925.1 16569 0 KY670925.1 Homo sapiens isolate 35_Vl haplogroup X2c mitochondrion, complete genome
KY670924.1 16570 0 KY670924.1 Homo sapiens isolate 35_T haplogroup H2a1 mitochondrion, complete genome
KY670923.1 16569 0 KY670923.1 Homo sapiens isolate 34_VN haplogroup H11a2 mitochondrion, complete genome
KY670922.1 16569 0 KY670922.1 Homo sapiens isolate 34_Vl haplogroup T2b mitochondrion, complete genome
KY670921.1 16571 0 KY670921.1 Homo sapiens isolate 33_VN haplogroup Z1a1 mitochondrion, complete genome
KY670920.1 16568 0 KY670920.1 Homo sapiens isolate 33_T haplogroup T2c mitochondrion, complete genome
KY670919.1 16569 0 KY670919.1 Homo sapiens isolate 33_Ps haplogroup H3h1 mitochondrion, complete genome
KY670918.1 16569 0 KY670918.1 Homo sapiens isolate 33_OR haplogroup T2b5 mitochondrion, complete genome
KY670917.1 16570 0 KY670917.1 Homo sapiens isolate 32_VN haplogroup H2a1 mitochondrion, complete genome
